texts,female,freshman,sophomore,junior,senior,grad
0.5,1,0,0,0,0,1
1,0,0,0,0,0,1
2,0,0,0,0,0,1
2,1,0,0,0,0,1
3,0,0,0,0,0,1
5,0,0,0,0,1,0
5,1,0,1,0,0,0
5,0,0,0,1,0,0
5,1,0,0,0,0,1
5,1,0,0,0,0,1
5,0,0,1,0,0,0
5,0,0,0,0,0,1
5,0,0,1,0,0,0
7,0,0,1,0,0,0
10,0,0,0,0,0,1
10,0,1,0,0,0,0
10,1,0,1,0,0,0
10,1,0,0,0,0,1
10,0,0,0,0,0,1
10,1,0,1,0,0,0
10,0,0,0,1,0,0
10,0,0,0,0,1,0
10,1,0,0,0,0,1
10,0,0,0,0,1,0
10,0,0,0,1,0,0
13,1,0,0,0,1,0
15,0,0,0,0,1,0
15,1,0,0,0,0,1
15,1,1,0,0,0,0
15,1,0,0,1,0,0
15,0,0,1,0,0,0
15,1,0,0,1,0,0
15,0,0,0,0,0,1
20,0,0,0,0,1,0
20,1,0,1,0,0,0
20,0,0,0,1,0,0
20,0,0,1,0,0,0
20,0,0,1,0,0,0
20,0,0,1,0,0,0
20,1,0,0,1,0,0
20,1,0,0,1,0,0
20,0,0,1,0,0,0
20,0,0,0,1,0,0
20,1,0,0,0,0,1
20,1,0,0,1,0,0
20,0,0,0,1,0,0
20,0,0,1,0,0,0
25,0,0,1,0,0,0
25,1,0,1,0,0,0
25,0,0,0,0,1,0
30,1,0,0,0,0,1
30,0,0,0,1,0,0
30,0,0,0,0,1,0
30,1,0,0,0,0,1
30,0,0,0,1,0,0
30,0,0,1,0,0,0
30,0,0,1,0,0,0
30,0,0,1,0,0,0
35,1,0,1,0,0,0
40,1,0,0,1,0,0
40,0,0,0,0,1,0
45,1,0,1,0,0,0
50,0,0,1,0,0,0
50,0,0,1,0,0,0
50,0,0,1,0,0,0
50,0,0,0,0,1,0
50,1,0,1,0,0,0
50,1,0,0,0,0,1
50,1,0,1,0,0,0
50,0,0,1,0,0,0
50,0,0,0,1,0,0
50,0,0,0,1,0,0
50,0,0,1,0,0,0
50,0,0,0,0,0,1
50,1,0,0,0,0,1
50,0,0,0,1,0,0
50,0,0,0,1,0,0
52,1,0,0,1,0,0
60,0,0,1,0,0,0
70,1,0,1,0,0,0
100,1,0,1,0,0,0
100,0,0,0,0,0,1
100,1,0,1,0,0,0
100,0,0,1,0,0,0
100,0,0,1,0,0,0
100,0,0,1,0,0,0
150,1,0,1,0,0,0
150,1,0,0,0,0,1
200,0,0,1,0,0,0
200,0,0,1,0,0,0
300,0,0,1,0,0,0
